temperature,humidity,soil_moisture,rainfall,light,acoustic,motion,season,timestamp
34.81,40.11,34.13,4.17,402.22,64.22,0,summer,2026-07-09T08:14:41.961634
34.12,39.93,35.46,4.24,557.45,66.93,0,summer,2026-07-09T08:22:41.961634
39.49,38.41,24.78,8.51,887.59,67.06,0,summer,2026-07-09T08:30:41.961634
37.12,30.79,12.76,6.27,685.41,76.23,1,summer,2026-07-09T08:38:41.961634
38.98,35.61,24.75,5.36,807.84,66.49,1,summer,2026-07-09T08:46:41.961634
34.52,37.64,32.03,7.63,379.51,74.33,1,summer,2026-07-09T08:54:41.961634
37.63,37.85,16.04,3.15,351.97,41.19,0,summer,2026-07-09T09:02:41.961634
37.11,38.33,11.63,6.92,350.4,48.37,0,summer,2026-07-09T09:10:41.961634
36.88,38.07,27.26,6.33,793.26,72.99,1,summer,2026-07-09T09:18:41.961634
34.27,28.53,21.56,1.65,999.29,68.37,0,summer,2026-07-09T09:26:41.961634
38.2,36.67,31.24,4.58,612.31,60.59,0,summer,2026-07-09T09:34:41.961634
37.83,27.78,22.74,4.51,902.02,48.5,0,summer,2026-07-09T09:42:41.961634
34.42,32.61,28.15,2.31,811.33,66.82,0,summer,2026-07-09T09:50:41.961634
35.75,41.92,16.21,0.14,427.49,48.29,0,summer,2026-07-09T09:58:41.961634
37.71,40.4,10.85,8.73,439.75,27.58,0,summer,2026-07-09T10:06:41.961634
35.57,28.36,30.09,1.89,996.27,66.07,0,summer,2026-07-09T10:14:41.961634
38.44,31.13,24.44,2.59,453.21,69.68,0,summer,2026-07-09T10:22:41.961634
36.67,39.27,21.19,6.13,550.75,25.19,1,summer,2026-07-09T10:30:41.961634
37.54,36.75,18.29,7.42,842.56,33.38,0,summer,2026-07-09T10:38:41.961634
37.41,42.35,17.41,7.21,724.03,62.51,0,summer,2026-07-09T10:46:41.961634
24.79,5.0,24.96,5.85,651.34,84.85963624317705,1,summer,2026-07-09T10:54:41.961634
36.39,39.16,15.5,6.55,712.04,80.92,0,summer,2026-07-09T11:02:41.961634
35.85,29.63,30.81,5.82,884.06,26.88,0,summer,2026-07-09T11:10:41.961634
35.7,30.11,24.07,5.24,719.86,67.78,0,summer,2026-07-09T11:18:41.961634
36.53,28.26,24.28,5.87,939.41,63.74,0,summer,2026-07-09T11:26:41.961634
38.62,34.86,17.52,4.49,763.99,60.45,0,summer,2026-07-09T11:34:41.961634
37.79,29.82,38.4,3.02,690.0,80.15,0,summer,2026-07-09T11:42:41.961634
36.94,31.92,16.49,5.1,763.2,40.05,0,summer,2026-07-09T11:50:41.961634
34.86,28.77,17.19,8.44,524.95,43.69,0,summer,2026-07-09T11:58:41.961634
36.79,34.46,31.27,4.26,352.47,71.99,0,summer,2026-07-09T12:06:41.961634
34.67,27.73,32.66,8.52,344.33,50.91,1,summer,2026-07-09T12:14:41.961634
35.83,38.51,23.35,4.5,341.75,52.35,0,summer,2026-07-09T12:22:41.961634
36.61,29.53,25.02,2.22,436.35,53.99,0,summer,2026-07-09T12:30:41.961634
36.53,34.25,21.59,6.42,545.46,77.6,0,summer,2026-07-09T12:38:41.961634
39.64,42.94,24.26,5.38,868.6,33.95,1,summer,2026-07-09T12:46:41.961634
38.28,32.95,30.87,2.12,741.07,67.25,0,summer,2026-07-09T12:54:41.961634
37.71,28.66,24.55,4.27,718.98,78.32,1,summer,2026-07-09T13:02:41.961634
35.22,28.86,23.64,2.79,980.86,57.67,0,summer,2026-07-09T13:10:41.961634
36.17,35.01,32.69,0.54,628.62,40.8,0,summer,2026-07-09T13:18:41.961634
34.0,28.89,22.05,3.81,515.41,27.88,0,summer,2026-07-09T13:26:41.961634
37.71,35.05,15.64,6.88,827.6,79.32,1,summer,2026-07-09T13:34:41.961634
34.25,35.23,22.34,7.05,429.39,39.77,0,summer,2026-07-09T13:42:41.961634
39.01,33.58,12.61,6.13,704.24,61.4,0,summer,2026-07-09T13:50:41.961634
39.12,27.46,29.01,0.02,626.96,37.75,0,summer,2026-07-09T13:58:41.961634
36.01,42.0,18.55,2.08,381.81,34.98,1,summer,2026-07-09T14:06:41.961634
36.75,38.04,26.24,1.51,717.51,31.0,0,summer,2026-07-09T14:14:41.961634
37.68,40.71,22.07,5.78,615.25,52.09,1,summer,2026-07-09T14:22:41.961634
38.03,36.62,19.99,9.58,303.72,70.02,0,summer,2026-07-09T14:30:41.961634
38.84,40.55,28.27,6.79,833.36,59.52,0,summer,2026-07-09T14:38:41.961634
37.25,39.2,18.81,6.31,816.92,70.1,0,summer,2026-07-09T14:46:41.961634
39.7,29.36,14.59,1.61,983.7,76.71,0,summer,2026-07-09T14:54:41.961634
37.12,31.74,24.95,5.04,926.51,77.23,0,summer,2026-07-09T15:02:41.961634
34.91,42.35,16.27,3.55,782.61,63.76,0,summer,2026-07-09T15:10:41.961634
39.76,41.03,24.22,7.99,537.65,48.88,0,summer,2026-07-09T15:18:41.961634
37.64,31.3,21.4,5.01,926.94,41.27,0,summer,2026-07-09T15:26:41.961634
54.76,5.0,36.76,6.59,578.26,102.72472331788661,1,summer,2026-07-09T15:34:41.961634
35.27,28.3,21.85,5.5,512.06,42.76,0,summer,2026-07-09T15:42:41.961634
39.42,38.18,36.21,9.21,849.07,64.19,0,summer,2026-07-09T15:50:41.961634
37.6,34.21,16.88,7.35,987.19,53.25,0,summer,2026-07-09T15:58:41.961634
21.009999999999998,10.376693788101441,28.59,4.65,654.58,118.17817711229307,0,summer,2026-07-09T16:06:41.961634
36.1,33.85,37.18,5.85,424.0,77.2,0,summer,2026-07-09T16:14:41.961634
38.06,41.9,11.62,2.43,693.88,40.53,0,summer,2026-07-09T16:22:41.961634
36.69,33.97,22.62,3.49,687.77,56.4,0,summer,2026-07-09T16:30:41.961634
38.99,32.64,26.88,4.32,705.74,44.66,0,summer,2026-07-09T16:38:41.961634
38.69,30.06,17.33,0.8,606.37,43.57,0,summer,2026-07-09T16:46:41.961634
37.54,39.31,12.53,1.4,388.11,60.77,1,summer,2026-07-09T16:54:41.961634
38.66,31.07,15.26,7.61,352.25,79.09,0,summer,2026-07-09T17:02:41.961634
37.89,34.26,11.95,5.55,315.28,83.24,0,summer,2026-07-09T17:10:41.961634
36.98,39.73,38.31,1.26,992.68,72.26,1,summer,2026-07-09T17:18:41.961634
36.98,37.11,20.25,7.55,751.96,59.79,0,summer,2026-07-09T17:26:41.961634
35.68,38.57,39.24,3.37,358.85,52.01,0,summer,2026-07-09T17:34:41.961634
53.29,5.0,19.47,4.04,308.07,67.72780069493818,0,summer,2026-07-09T17:42:41.961634
34.33,29.62,19.01,4.1,855.92,54.56,0,summer,2026-07-09T17:50:41.961634
39.74,33.27,16.57,3.63,314.0,35.37,1,summer,2026-07-09T17:58:41.961634
35.48,29.6,12.91,2.32,737.67,43.83,0,summer,2026-07-09T18:06:41.961634
54.36,5.0,37.58,5.96,410.47,65.3147357741448,1,summer,2026-07-09T18:14:41.961634
38.83,29.63,16.85,1.47,601.42,76.08,0,summer,2026-07-09T18:22:41.961634
36.83,28.57,11.21,4.89,434.83,47.88,1,summer,2026-07-09T18:30:41.961634
36.67,38.75,12.29,5.95,872.57,83.9,0,summer,2026-07-09T18:38:41.961634
39.7,39.93,20.37,9.13,800.57,27.65,0,summer,2026-07-09T18:46:41.961634
36.68,36.62,24.55,4.86,583.4,58.33,1,summer,2026-07-09T18:54:41.961634
30.38,63.67,22.8,6.55,27.34,69.13,1,summer,2026-07-09T19:02:41.961634
29.2,65.53,29.34,3.18,25.3,55.35,0,summer,2026-07-09T19:10:41.961634
30.7,60.03,23.78,7.77,13.85,67.45,0,summer,2026-07-09T19:18:41.961634
28.16,52.96,20.39,3.17,35.33,45.85,0,summer,2026-07-09T19:26:41.961634
26.09,61.4,23.9,4.08,28.45,38.18,0,summer,2026-07-09T19:34:41.961634
28.49,52.67,14.9,8.71,29.66,47.4,0,summer,2026-07-09T19:42:41.961634
28.33,65.7,25.75,6.37,17.36,39.0,0,summer,2026-07-09T19:50:41.961634
26.83,53.85,29.52,4.19,40.55,42.01,0,summer,2026-07-09T19:58:41.961634
30.49,66.02,31.7,0.21,36.88,70.81,0,summer,2026-07-09T20:06:41.961634
45.64,18.038206321797276,34.81,4.21,10.59,96.19995766894125,0,summer,2026-07-09T20:14:41.961634
26.16,57.77,26.24,5.52,27.64,34.51,1,summer,2026-07-09T20:22:41.961634
30.27,64.63,26.77,5.05,14.05,76.81,0,summer,2026-07-09T20:30:41.961634
28.73,56.99,15.69,7.75,14.56,79.59,0,summer,2026-07-09T20:38:41.961634
25.99,66.16,17.39,3.24,47.33,77.25,0,summer,2026-07-09T20:46:41.961634
25.43,52.87,29.29,1.53,21.98,66.18,1,summer,2026-07-09T20:54:41.961634
30.67,67.22,7.74,5.16,49.52,45.95,0,summer,2026-07-09T21:02:41.961634
27.63,59.95,30.68,3.37,9.55,36.42,1,summer,2026-07-09T21:10:41.961634
30.4,58.93,11.15,3.6,41.14,42.17,1,summer,2026-07-09T21:18:41.961634
25.17,62.16,15.85,7.44,2.23,53.63,0,summer,2026-07-09T21:26:41.961634
28.17,66.97,24.5,3.01,39.15,37.39,0,summer,2026-07-09T21:34:41.961634
26.47,59.67,32.43,2.49,29.86,56.92,0,summer,2026-07-09T21:42:41.961634
25.87,56.47,28.05,0.0,34.32,31.27,0,summer,2026-07-09T21:50:41.961634
26.65,63.36,20.02,2.09,40.18,46.99,0,summer,2026-07-09T21:58:41.961634
25.69,52.56,35.67,2.62,39.28,79.2,0,summer,2026-07-09T22:06:41.961634
27.68,58.64,16.87,4.09,5.54,34.3,0,summer,2026-07-09T22:14:41.961634
27.16,65.72,23.57,5.82,46.66,82.54,0,summer,2026-07-09T22:22:41.961634
29.43,66.83,22.59,4.77,37.88,45.84,0,summer,2026-07-09T22:30:41.961634
26.19,53.12,34.15,2.65,10.7,26.07,0,summer,2026-07-09T22:38:41.961634
28.56,56.89,29.77,3.01,29.12,71.55,0,summer,2026-07-09T22:46:41.961634
26.89,61.48,10.24,3.49,41.43,59.26,0,summer,2026-07-09T22:54:41.961634
28.35,67.92,20.77,1.64,46.78,54.9,1,summer,2026-07-09T23:02:41.961634
28.33,60.01,15.83,7.94,29.39,38.26,1,summer,2026-07-09T23:10:41.961634
44.39,19.07198856573197,6.58,0.84,18.49,70.21533632409067,0,summer,2026-07-09T23:18:41.961634
26.17,58.58,13.81,5.21,3.3,83.7,0,summer,2026-07-09T23:26:41.961634
30.93,52.33,13.3,0.07,38.43,61.62,0,summer,2026-07-09T23:34:41.961634
27.86,57.37,18.55,4.84,38.55,30.27,0,summer,2026-07-09T23:42:41.961634
29.17,65.58,32.73,1.37,19.93,28.13,0,summer,2026-07-09T23:50:41.961634
30.22,64.68,17.0,3.29,20.97,41.13,0,summer,2026-07-09T23:58:41.961634
28.52,57.29,9.85,4.85,4.27,76.64,0,summer,2026-07-10T00:06:41.961634
27.75,56.4,24.59,5.25,49.06,39.18,1,summer,2026-07-10T00:14:41.961634
25.67,67.78,33.56,3.5,25.88,74.38,0,summer,2026-07-10T00:22:41.961634
26.38,65.65,21.03,5.21,23.41,76.86,1,summer,2026-07-10T00:30:41.961634
28.74,62.37,30.23,5.68,38.71,28.14,0,summer,2026-07-10T00:38:41.961634
28.5,59.08,30.45,4.48,28.21,34.25,0,summer,2026-07-10T00:46:41.961634
26.38,65.38,6.88,5.99,8.28,37.78,0,summer,2026-07-10T00:54:41.961634
26.89,65.54,16.54,1.05,37.24,32.37,0,summer,2026-07-10T01:02:41.961634
30.28,55.3,13.76,0.0,28.62,77.04,0,summer,2026-07-10T01:10:41.961634
30.84,52.25,29.39,4.79,16.05,35.05,0,summer,2026-07-10T01:18:41.961634
26.88,53.52,7.68,0.0,23.04,71.95,0,summer,2026-07-10T01:26:41.961634
28.63,64.74,16.53,1.62,49.54,33.67,0,summer,2026-07-10T01:34:41.961634
27.96,65.66,34.15,3.72,27.6,28.83,0,summer,2026-07-10T01:42:41.961634
25.84,62.58,29.9,1.2,0.5,44.03,0,summer,2026-07-10T01:50:41.961634
27.95,62.6,24.25,7.27,2.69,32.84,1,summer,2026-07-10T01:58:41.961634
26.79,53.67,24.65,7.12,14.66,41.66,0,summer,2026-07-10T02:06:41.961634
30.15,64.26,31.26,4.88,24.47,59.88,1,summer,2026-07-10T02:14:41.961634
25.72,54.14,23.27,5.18,30.41,47.52,0,summer,2026-07-10T02:22:41.961634
26.21,59.77,30.4,2.01,28.42,42.08,1,summer,2026-07-10T02:30:41.961634
28.35,64.57,28.05,7.31,6.8,51.98,0,summer,2026-07-10T02:38:41.961634
26.49,55.03,28.91,6.07,17.0,81.55,0,summer,2026-07-10T02:46:41.961634
11.969999999999999,25.839957983318577,14.34,2.09,34.12,99.9715052844738,0,summer,2026-07-10T02:54:41.961634
27.52,60.68,17.46,2.83,40.75,75.53,1,summer,2026-07-10T03:02:41.961634
29.54,53.93,24.93,0.0,28.96,32.39,1,summer,2026-07-10T03:10:41.961634
27.17,63.52,21.09,4.57,31.2,38.1,0,summer,2026-07-10T03:18:41.961634
30.22,61.57,23.52,4.68,21.36,71.24,0,summer,2026-07-10T03:26:41.961634
25.41,65.59,34.2,5.9,35.05,76.69,1,summer,2026-07-10T03:34:41.961634
30.85,63.3,23.24,6.09,16.08,61.95,1,summer,2026-07-10T03:42:41.961634
30.96,59.56,12.6,5.62,21.02,59.8,0,summer,2026-07-10T03:50:41.961634
25.01,61.7,22.55,7.28,1.42,29.85,1,summer,2026-07-10T03:58:41.961634
27.38,63.87,18.83,4.86,8.69,37.94,0,summer,2026-07-10T04:06:41.961634
28.03,59.76,30.99,0.5,30.37,61.04,0,summer,2026-07-10T04:14:41.961634
25.18,65.13,23.29,3.41,39.07,77.67,1,summer,2026-07-10T04:22:41.961634
25.54,59.39,17.83,3.98,9.46,30.12,0,summer,2026-07-10T04:30:41.961634
29.91,58.04,13.54,7.38,18.37,39.97,0,summer,2026-07-10T04:38:41.961634
29.86,63.06,24.62,4.59,46.88,54.39,0,summer,2026-07-10T04:46:41.961634
25.03,54.24,24.98,0.58,11.7,32.05,1,summer,2026-07-10T04:54:41.961634
26.9,65.34,9.25,0.05,0.57,70.05,0,summer,2026-07-10T05:02:41.961634
29.97,60.44,23.11,3.89,49.6,72.43,0,summer,2026-07-10T05:10:41.961634
28.87,63.33,11.81,3.97,16.0,82.57,0,summer,2026-07-10T05:18:41.961634
25.32,66.17,18.5,5.83,1.48,38.65,0,summer,2026-07-10T05:26:41.961634
28.75,65.78,21.94,4.97,10.64,68.75,0,summer,2026-07-10T05:34:41.961634
27.14,54.55,32.62,2.15,23.72,75.06,0,summer,2026-07-10T05:42:41.961634
27.2,52.97,22.73,1.82,31.08,76.35,0,summer,2026-07-10T05:50:41.961634
29.18,63.59,36.34,6.68,12.94,35.39,1,summer,2026-07-10T05:58:41.961634
38.0,34.65,22.23,1.81,765.74,49.59,1,summer,2026-07-10T06:06:41.961634
34.39,31.21,33.53,0.54,441.82,47.08,0,summer,2026-07-10T06:14:41.961634
38.36,41.75,19.65,7.22,626.86,50.71,1,summer,2026-07-10T06:22:41.961634
36.94,28.77,34.04,6.96,472.97,77.29,1,summer,2026-07-10T06:30:41.961634
34.03,29.99,29.31,2.95,683.49,83.85,0,summer,2026-07-10T06:38:41.961634
34.61,33.09,22.93,7.7,555.66,29.41,0,summer,2026-07-10T06:46:41.961634
35.35,41.85,29.4,9.14,484.88,35.56,0,summer,2026-07-10T06:54:41.961634
38.45,39.0,33.62,3.45,967.83,79.09,0,summer,2026-07-10T07:02:41.961634
36.78,34.53,17.66,4.88,761.92,79.68,0,summer,2026-07-10T07:10:41.961634
38.54,31.97,26.6,0.55,729.77,68.55,0,summer,2026-07-10T07:18:41.961634
39.44,41.06,33.5,4.19,715.31,35.01,0,summer,2026-07-10T07:26:41.961634
37.13,41.93,18.11,0.13,943.65,35.16,1,summer,2026-07-10T07:34:41.961634
35.22,33.7,16.77,3.78,965.77,45.74,0,summer,2026-07-10T07:42:41.961634
22.549999999999997,6.081040034428916,20.98,2.09,642.1,97.33162959560332,1,summer,2026-07-10T07:50:41.961634
34.77,33.5,20.02,3.3,542.02,46.08,0,summer,2026-07-10T07:58:41.961634
37.84,34.14,28.97,0.0,565.08,69.24,0,summer,2026-07-10T08:06:41.961634
36.57,38.34,27.62,3.26,822.26,61.09,1,summer,2026-07-10T08:14:41.961634
36.9,35.91,10.44,4.44,406.17,50.42,0,summer,2026-07-10T08:22:41.961634
36.2,28.74,22.36,7.32,995.7,61.13,0,summer,2026-07-10T08:30:41.961634
34.37,30.45,22.13,0.0,902.11,45.52,0,summer,2026-07-10T08:38:41.961634
35.71,35.13,26.93,4.28,862.16,66.63,1,summer,2026-07-10T08:46:41.961634
39.64,34.38,33.83,0.47,555.83,32.35,1,summer,2026-07-10T08:54:41.961634
39.57,39.04,27.51,5.58,300.0,42.16,1,summer,2026-07-10T09:02:41.961634
36.55,29.88,25.05,7.12,407.52,37.85,1,summer,2026-07-10T09:10:41.961634
34.17,35.06,13.37,4.35,820.66,72.35,0,summer,2026-07-10T09:18:41.961634
38.07,37.59,18.86,0.64,766.37,55.14,0,summer,2026-07-10T09:26:41.961634
38.53,33.92,17.73,5.18,601.79,32.43,1,summer,2026-07-10T09:34:41.961634
36.23,30.34,35.28,5.8,565.76,53.56,0,summer,2026-07-10T09:42:41.961634
35.16,29.43,23.96,5.27,609.61,70.85,1,summer,2026-07-10T09:50:41.961634
36.67,32.57,23.45,2.17,932.6,43.97,0,summer,2026-07-10T09:58:41.961634
21.380000000000003,5.0,7.78,7.25,857.61,64.74807297822144,1,summer,2026-07-10T10:06:41.961634
38.87,33.56,24.37,6.18,539.8,28.91,0,summer,2026-07-10T10:14:41.961634
35.26,42.34,19.35,0.29,691.36,61.35,0,summer,2026-07-10T10:22:41.961634
38.47,38.05,30.81,4.09,574.01,52.51,0,summer,2026-07-10T10:30:41.961634
38.7,29.68,18.1,5.12,845.71,32.68,0,summer,2026-07-10T10:38:41.961634
34.76,37.62,19.92,3.41,583.06,58.89,0,summer,2026-07-10T10:46:41.961634
19.54,7.8881495838483175,30.95,6.09,417.16,72.87467462775368,1,summer,2026-07-10T10:54:41.961634
39.87,39.43,30.67,6.0,711.8,59.92,1,summer,2026-07-10T11:02:41.961634
37.73,29.72,24.21,1.46,834.38,81.26,0,summer,2026-07-10T11:10:41.961634
36.51,34.72,9.34,7.64,527.28,38.71,0,summer,2026-07-10T11:18:41.961634
38.73,38.68,18.8,1.49,929.01,60.82,0,summer,2026-07-10T11:26:41.961634
37.51,34.5,13.49,6.52,827.18,80.2,0,summer,2026-07-10T11:34:41.961634
34.41,27.72,21.99,4.6,903.86,26.14,0,summer,2026-07-10T11:42:41.961634
35.3,31.8,35.19,7.09,933.28,37.76,0,summer,2026-07-10T11:50:41.961634
36.67,41.74,22.99,5.13,588.7,62.71,1,summer,2026-07-10T11:58:41.961634
38.95,29.34,32.54,3.35,805.01,39.43,0,summer,2026-07-10T12:06:41.961634
37.55,41.15,15.81,5.91,516.75,52.37,0,summer,2026-07-10T12:14:41.961634
35.36,28.44,28.5,2.08,567.59,31.24,0,summer,2026-07-10T12:22:41.961634
19.08,5.0,32.15,1.12,426.64,98.60602674658463,0,summer,2026-07-10T12:30:41.961634
39.01,32.91,31.5,3.04,815.08,78.18,0,summer,2026-07-10T12:38:41.961634
39.6,32.68,12.57,2.26,870.68,53.83,0,summer,2026-07-10T12:46:41.961634
39.1,27.78,29.84,4.71,597.76,44.96,0,summer,2026-07-10T12:54:41.961634
34.67,42.68,35.35,0.0,409.6,64.18,1,summer,2026-07-10T13:02:41.961634
38.53,37.4,15.09,3.42,505.94,76.2,1,summer,2026-07-10T13:10:41.961634
37.49,37.91,21.81,2.86,675.72,83.68,0,summer,2026-07-10T13:18:41.961634
38.28,39.86,29.32,1.67,870.41,35.14,1,summer,2026-07-10T13:26:41.961634
37.08,31.63,21.33,3.86,857.95,44.99,0,summer,2026-07-10T13:34:41.961634
34.77,41.31,34.1,7.59,690.52,72.64,0,summer,2026-07-10T13:42:41.961634
39.86,36.84,31.41,5.1,366.48,33.9,0,summer,2026-07-10T13:50:41.961634
37.84,27.15,15.88,2.32,661.31,26.82,1,summer,2026-07-10T13:58:41.961634
34.03,34.48,38.02,2.02,882.19,52.45,0,summer,2026-07-10T14:06:41.961634
37.69,38.29,30.97,3.73,399.68,71.36,0,summer,2026-07-10T14:14:41.961634
34.42,27.71,25.99,7.69,469.04,33.02,0,summer,2026-07-10T14:22:41.961634
35.98,29.69,21.59,5.52,800.52,44.95,0,summer,2026-07-10T14:30:41.961634
35.87,30.87,22.59,4.21,826.55,49.38,0,summer,2026-07-10T14:38:41.961634
34.6,32.17,11.04,2.67,401.95,74.69,0,summer,2026-07-10T14:46:41.961634
38.17,41.2,26.9,5.95,738.64,58.98,1,summer,2026-07-10T14:54:41.961634
38.34,32.61,10.4,3.98,725.2,28.69,0,summer,2026-07-10T15:02:41.961634
39.21,29.43,25.37,1.42,830.6,38.53,1,summer,2026-07-10T15:10:41.961634
37.44,34.58,23.37,4.6,789.83,56.41,0,summer,2026-07-10T15:18:41.961634
36.2,39.87,18.75,4.9,850.27,73.9,0,summer,2026-07-10T15:26:41.961634
37.5,42.1,10.72,5.45,630.39,27.07,0,summer,2026-07-10T15:34:41.961634
34.54,30.01,30.83,1.23,714.65,83.58,0,summer,2026-07-10T15:42:41.961634
38.84,42.25,7.55,4.83,508.56,30.19,1,summer,2026-07-10T15:50:41.961634
35.9,28.78,30.85,5.54,519.63,48.28,1,summer,2026-07-10T15:58:41.961634
35.18,31.28,22.07,2.55,566.67,37.43,0,summer,2026-07-10T16:06:41.961634
34.42,39.1,16.5,3.06,330.21,30.07,0,summer,2026-07-10T16:14:41.961634
36.35,39.05,34.05,2.98,703.49,27.26,0,summer,2026-07-10T16:22:41.961634
37.48,32.77,26.09,0.0,838.33,29.89,0,summer,2026-07-10T16:30:41.961634
36.2,39.33,15.55,2.2,908.67,54.86,0,summer,2026-07-10T16:38:41.961634
37.25,31.89,14.62,0.99,729.22,69.92,0,summer,2026-07-10T16:46:41.961634
39.04,34.81,30.26,5.68,500.75,44.42,1,summer,2026-07-10T16:54:41.961634
35.53,37.88,16.94,7.15,472.12,72.46,0,summer,2026-07-10T17:02:41.961634
39.43,33.63,34.19,4.58,836.58,29.66,1,summer,2026-07-10T17:10:41.961634
35.63,34.4,18.91,5.21,608.12,56.3,0,summer,2026-07-10T17:18:41.961634
36.3,41.12,6.39,8.91,675.12,38.5,1,summer,2026-07-10T17:26:41.961634
37.67,42.44,24.5,2.58,640.39,57.86,0,summer,2026-07-10T17:34:41.961634
38.17,33.84,12.81,6.59,723.48,56.44,0,summer,2026-07-10T17:42:41.961634
39.08,41.25,17.13,1.24,837.77,45.02,0,summer,2026-07-10T17:50:41.961634
38.96,40.77,29.19,4.45,584.0,71.26,0,summer,2026-07-10T17:58:41.961634
38.98,34.4,38.27,2.14,563.45,55.67,0,summer,2026-07-10T18:06:41.961634
34.89,27.93,29.04,4.01,918.24,40.03,1,summer,2026-07-10T18:14:41.961634
38.08,29.25,9.88,0.0,818.11,52.44,0,summer,2026-07-10T18:22:41.961634
34.77,41.17,17.08,1.91,813.86,34.0,1,summer,2026-07-10T18:30:41.961634
34.7,33.96,18.89,3.86,914.84,64.64,0,summer,2026-07-10T18:38:41.961634
39.76,42.98,15.97,3.7,423.09,53.23,0,summer,2026-07-10T18:46:41.961634
34.42,29.94,29.28,4.67,593.04,74.4,1,summer,2026-07-10T18:54:41.961634
29.32,54.79,29.47,4.82,40.91,29.73,0,summer,2026-07-10T19:02:41.961634
26.59,52.85,15.29,6.72,15.37,42.16,0,summer,2026-07-10T19:10:41.961634
30.66,59.31,21.3,7.35,3.83,50.32,0,summer,2026-07-10T19:18:41.961634
26.14,52.71,30.13,0.65,6.55,49.1,0,summer,2026-07-10T19:26:41.961634
30.23,54.42,15.98,6.86,15.71,43.02,0,summer,2026-07-10T19:34:41.961634
27.36,56.55,8.9,4.33,10.11,78.76,0,summer,2026-07-10T19:42:41.961634
26.5,57.11,11.06,3.69,47.73,28.86,0,summer,2026-07-10T19:50:41.961634
26.3,66.85,31.45,2.29,44.54,35.97,1,summer,2026-07-10T19:58:41.961634
25.73,64.76,8.61,6.16,31.05,27.45,0,summer,2026-07-10T20:06:41.961634
29.05,67.77,24.7,0.69,18.7,57.77,1,summer,2026-07-10T20:14:41.961634
28.49,67.47,28.14,4.96,48.96,78.81,1,summer,2026-07-10T20:22:41.961634
28.51,63.65,12.15,4.9,41.7,31.29,0,summer,2026-07-10T20:30:41.961634
30.9,58.98,20.37,4.18,2.05,81.33,0,summer,2026-07-10T20:38:41.961634
29.44,56.98,30.54,1.69,32.29,38.88,1,summer,2026-07-10T20:46:41.961634
30.69,65.02,10.28,2.3,30.67,80.87,1,summer,2026-07-10T20:54:41.961634
26.3,64.14,32.57,2.1,33.42,76.04,0,summer,2026-07-10T21:02:41.961634
26.07,62.75,16.4,4.28,16.74,50.42,0,summer,2026-07-10T21:10:41.961634
13.100000000000001,34.925228139971296,8.84,3.92,27.51,56.03239519631473,0,summer,2026-07-10T21:18:41.961634
29.03,65.97,24.13,4.73,4.84,27.6,1,summer,2026-07-10T21:26:41.961634
